Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Title,Retail Prices Index: Long run series: 1800 to 2024: Jan 1974=100
1938-39,398,109,-,77,-,22,-,-,-,-,-,-,-,340,21,-,38,-,386,-,1006,1520,149,397,51,-,-,-,115,217,889,1938-39,280,8301,5486,5690,1938,16.8
1939-40,460,113,-,78,-,27,-,-,-,-,-,-,-,400,17,-,38,-,455,-,1401,2420,-,1043,-,-,-,-,-,229,1148,1939-40,842,9083,6101,6720,1939,17.3
1940-41,600,121,-,81,-,96,-,-,-,-,-,-,-,529,14,-,54,-,600,-,3954,4056,-,2896,-,-,-,-,-,234,927,1940-41,1984,11553,7390,8110,1940,20.2
1941-42,845,130,-,91,-,269,-,-,-,-,-,-,-,704,14,-,122,-,623,-,4876,5118,-,4064,-,-,-,-,-,278,775,1941-42,2347,14226,8673,9078,1941,22.4
1942-43,1082,143,-,93,-,378,-,-,-,-,-,-,-,885,15,-,326,-,364,-,5726,5726,-,4719,-,-,-,-,-,332,675,1942-43,2422,17006,9430,9729,1942,24.0
1943-44,1260,143,-,100,-,500,-,-,-,-,-,-,-,1043,18,-,86,-,567,-,5899,6090,-,4962,-,-,-,-,-,385,743,1943-44,2402,19743,9899,9942,1943,24.8
1944-45,1390,140,-,111,-,510,-,-,-,-,-,-,-,1076,17,-,110,-,499,-,6174,6174,-,4958,-,-,-,-,-,435,781,1944-45,2216,22541,9897,9763,1944,25.5
1945-46,1430,145,-,120,-,466,-,-,-,-,-,-,-,1111,25,-,103,-,433,-,5592,5592,-,3950,-,-,-,-,-,475,1167,1945-46,1475,23774,9712,9741,1945,26.2
1946-47,1211,186,-,148,-,358,-,-,-,-,-,-,464,643,39,11,309,120,172,3547,3890,4011,356,1744,-,-,-,-,-,504,2119,1946-47,629,25771,9953,10347,1946,27.0
1947-48,1139,257,-,172,-,289,-,-,-,-,-,-,555,753,52,11,347,128,257,3717,3447,3602,533,860,-,-,-,-,-,527,2747,1947-48,79,25773,10803,11322,1947,28.9
1948-49,1347,361,-,177,-,279,-,-,-,-,-,-,598,895,58,12,478,151,562,4251,3595,3781,733,809,253,-,-,-,314,520,2617,1948-49,-496,25332,11425,12153,1948,31.1
1949-50,1510,437,-,190,-,297,-,-,-,-,-,-,600,871,53,13,535,123,653,4494,3780,3972,822,838,419,-,-,-,332,519,2687,1949-50,-587,25900,12169,12776,1949,32.0
1950-51,1570,443,-,185,-,268,-,-,-,-,-,-,606,941,55,13,541,137,712,4596,3946,4194,912,917,457,-,-,-,342,520,2868,1950-51,-466,25922,12740,14111,1950,33.0
1951-52,1733,458,-,183,-,315,-,-,-,-,-,-,618,1031,61,14,578,149,757,4975,4687,4850,1094,1222,471,-,-,-,389,564,3299,1951-52,-69,25891,14303,15446,1951,36.0
1952-53,1934,488,-,152,-,379,-,-,-,-,-,-,616,1066,53,14,544,158,813,5275,5031,5262,1279,1531,483,-,-,-,424,625,3478,1952-53,209,26051,15536,16617,1952,39.3
1953-54,1925,527,-,165,-,254,-,-,-,-,-,-,633,1101,60,17,584,180,912,5290,5181,5498,1387,1600,499,-,-,-,464,658,3664,1953-54,418,26583,16685,17601,1953,40.5
1954-55,1951,531,-,188,-,249,-,-,-,-,-,-,654,1110,73,23,676,193,969,5441,5225,5587,1382,1586,518,-,-,-,519,656,3690,1954-55,257,26934,17601,18999,1954,41.3
1955-56,2083,621,-,180,-,211,-,-,-,-,-,-,667,1256,72,26,735,211,1004,5803,5373,5754,1391,1493,549,972,-,-,549,726,2857,1955-56,-38,27039,19573,20636,1955,43.1
1956-57,2288,644,-,168,-,200,-,-,-,-,-,-,693,1326,64,28,767,255,1123,6190,5882,6269,1497,1553,598,1012,-,-,635,743,3226,1956-57,82,27008,21162,22005,1956,45.3
1957-58,2382,693,-,178,-,255,-,-,-,-,-,-,719,1334,66,31,831,276,1182,6509,6102,6546,1534,1526,644,1084,-,-,715,728,3383,1957-58,6,27232,22509,23004,1957,46.9
1958-59,2484,880,-,189,-,275,-,-,-,-,-,-,745,1324,69,33,896,290,1167,6892,6460,6929,1624,1486,689,1328,-,-,771,804,3475,1958-59,71,27376,23334,23956,1958,48.4
1959-60,2398,906,-,226,-,262,-,-,-,-,-,-,781,1382,94,36,983,324,1016,7072,6876,7401,1709,1524,749,1393,-,-,833,799,3812,1959-60,569,27733,24872,25788,1959,48.6
1960-61,2620,913,-,236,-,263,-,-,-,-,-,-,828,1399,94,38,1075,345,1140,7429,7330,7920,1808,1583,812,1434,-,-,906,888,4105,1960-61,662,28252,26641,27584,1960,49.1
1961-62,2943,1144,-,261,-,335,-,-,-,-,-,-,863,1576,97,38,1061,373,1327,8400,7861,8578,2104,1679,868,1602,-,-,1014,928,4590,1961-62,610,28674,28140,28844,1961,50.8
1962-63,2972,1194,-,270,-,383,-,-,-,-,-,-,883,1624,97,42,1164,412,1450,8731,8229,8920,2179,1774,911,1698,-,-,1157,910,4649,1962-63,538,29848,29451,30385,1962,53.0
1963-64,2944,1361,-,313,-,390,-,-,-,-,-,-,906,1696,87,55,1239,450,1670,9160,9222,9342,2769,1835,981,1951,-,-,1268,969,5108,1963-64,863,30226,31925,33343,1963,54.0
1964-65,3316,1461,-,297,-,423,-,-,-,-,-,-,956,1977,80,56,1410,490,1847,10137,9327,9923,3184,1933,1088,2024,-,-,1406,980,5676,1964-65,651,30441,34856,36165,1964,55.8
1965-66,3955,1755,-,293,-,438,-,-,-,-,-,-,1007,2097,77,73,1629,555,2040,11498,10996,11166,3451,2040,1233,2396,-,-,1572,1011,6366,1965-66,571,31341,37465,38759,1965,58.4
1966-67,3747,1827,7,301,-,1049,-,-,-,-,-,-,1032,2276,78,75,1960,614,2146,12541,11480,12140,4036,2162,1359,2534,-,-,1734,1088,7299,1966-67,957,31986,39955,41156,1966,60.7
1967-68,4134,1975,16,329,-,1214,-,-,-,-,-,-,1049,2557,99,79,2261,627,2354,13861,13282,13629,4833,2317,1475,2878,-,-,1873,1158,8761,1967-68,1637,34194,42518,44400,1967,62.3
1968-69,4757,2192,47,382,-,1342,-,1,-,-,-,-,1104,3018,126,86,2809,658,2647,15814,14382,14617,4888,2303,1579,3273,-,-,2057,1295,8998,1968-69,270,33984,46778,48714,1968,65.2
1969-70,5298,2324,126,364,-,1696,-,2,-,-,-,-,1140,3430,120,100,3326,699,2754,17863,16567,15486,5002,2236,1684,3500,-,-,2236,1333,9499,1969-70,-872,33079,50863,54113,1969,68.7
1970-71,6129,2660,136,356,-,1582,-,3,-,-,-,-,1143,3777,118,103,3651,745,2817,19457,17217,17142,5744,2426,1920,3752,-,-,2528,1347,10912,1970-71,-323,33442,57742,61180,1970,73.1
1971-72,6640,2985,155,452,-,1552,-,6,-,-,-,-,1125,3991,168,121,3760,870,3076,20708,19294,19583,5919,2712,2186,4364,-,-,2916,1461,11863,1971-72,634,35840,64593,68143,1971,80.0
1972-73,6794,3492,207,459,-,1533,-,11,-,-,-,-,1185,4223,227,138,3884,984,3525,22053,22028,22126,6401,3028,2513,5053,-,-,3425,1696,12812,1972-73,1913,36885,73937,79228,1972,85.7
1973-74,7579,4106,322,412,-,2264,-,12,-,-,-,-,1971,3945,191,150,3984,1100,4088,24688,25496,25769,7673,3467,2979,5680,-,-,4007,1896,15413,1973-74,3383,40125,82863,88835,1973,93.5
1974-75,11044,5410,382,338,-,2859,-,15,-,-,-,-,2785,4366,198,164,4559,1264,5083,31902,32665,34112,9756,4168,3921,7121,-,-,4956,2257,21445,1974-75,5592,52100,98190,109120,1974,108.5
1975-76,15375,7173,387,329,-,1996,-,20,-,-,-,-,3707,5208,283,234,5679,1696,6629,40306,43234,43885,12213,5195,5079,9634,-,-,6552,2840,26798,1975-76,7651,64700,120851,131165,1975,134.8
1976-77,17293,8833,324,384,-,2655,-,71,-,-,-,-,3960,6350,271,249,6533,1868,8586,46543,49652,51232,12866,6100,5901,11467,-,-,7299,3833,29498,1976-77,7004,73600,142088,154027,1976,157.1
1977-78,17571,9751,340,399,-,3344,-,228,-,-,-,-,4591,7142,376,287,8559,2247,9211,52516,56002,57540,12628,6747,6590,13791,-,-,8234,4692,30115,1977-78,6424,79500,166127,179407,1977,182.0
1978-79,19214,10238,353,369,-,3940,183,289,-,-,-,-,5060,8049,434,337,10004,2474,10377,58432,63630,66106,13598,7680,7506,16376,9639,6737,9457,5645,33039,1978-79,8685,88600,192400,210106,1978,197.1
1979-80,21568,12020,431,435,-,4646,1435,-,-,-,-,-,9642,8830,622,427,12608,2921,11519,72543,75849,79600,15732,9499,8956,19372,11110,8262,10912,6915,39678,1979-80,8546,98200,232651,251372,1979,223.5
1980-81,25506,14400,508,452,-,4645,2410,-,129,-,-,-,11830,9935,641,533,15070,3755,13703,85908,92837,96846,17885,11622,11037,23376,13303,10073,13302,8674,46719,1980-81,11537,113800,267589,282242,1980,263.7
1981-82,31807,16477,526,497,-,4930,4415,-,394,-,-,-,12825,12667,797,602,15053,4524,17010,101480,109378,110820,17334,12935,12478,28577,15750,12827,14445,10623,49096,1981-82,5999,125200,298340,312915,1981,295.0
1982-83,33506,18732,632,511,-,5679,5669,-,524,-,-,-,14767,13696,873,740,14306,5178,18806,110421,117455,121643,19985,14754,13522,32631,17688,14943,15588,12008,53124,1982-83,8542,132500,327518,342781,1982,320.4
1983-84,32453,21336,671,608,-,6184,6017,-,528,-,-,-,16456,15073,1138,759,16507,4956,19434,118310,127289,131273,22136,15866,14457,36452,19222,17230,16420,12885,57329,1983-84,11802,143600,358116,369934,1983,335.1
1984-85,34087,22748,730,664,-,8341,7177,-,504,-,-,-,20301,16311,911,775,17219,5314,17058,129747,137337,141970,22081,17584,15373,39464,20480,18984,17043,14884,59703,1984-85,12535,157000,386018,405823,1984,351.8
1985-86,36552,24639,908,888,-,10708,6375,-,520,-,-,-,20986,17192,1226,979,18298,5834,18119,138577,145364,150543,20718,18393,16477,43092,22474,20618,17563,16197,59539,1985-86,9034,162500,423777,438305,1985,373.2
1986-87,38943,26687,1064,995,-,13495,1188,-,504,-,-,-,23621,18545,1860,1021,18238,6746,18390,147979,152879,158745,19731,18595,17899,46342,24225,22116,19329,17069,59242,1986-87,8740,167800,455595,482008,1986,385.9
1987-88,42023,28140,1379,1078,-,15734,2296,-,469,-,-,-,26313,19467,2440,1080,20044,7409,18366,161997,163222,170354,19613,19100,20510,48181,25646,22536,21200,18604,62372,1987-88,5074,167400,511862,541097,1987,402.0
1988-89,44313,31517,2323,1071,-,18537,1371,-,377,-,-,-,29869,20659,2255,1150,21293,8668,20541,177701,168318,177247,19583,19400,22684,48818,26883,21935,23100,18941,63887,1988-89,-5530,153700,570572,600032,1988,421.7
1989-90,50181,33519,1854,1232,-,21495,1050,-,338,-,-,-,32557,21378,2117,1236,23418,9481,20145,193243,187738,192426,25727,21000,24388,51910,29338,22571,25900,19947,75008,1989-90,124,151900,630291,659994,1989,454.5
1990-91,56008,35006,1852,1262,10057,21495,860,-,267,-,-,-,34034,23749,1703,1358,25644,9071,9528,206558,218137,209798,26971,22000,27100,58270,32744,25526,28100,20071,81228,1990-91,7315,151100,679960,697151,1990,497.5
1991-92,64006,36687,1140,1300,11684,18263,-216,-,268,-,-,-,39505,26062,1697,1485,26531,8547,4337,216750,246448,233927,28909,23200,30900,68405,36657,31748,31300,18146,90885,1991-92,23764,165800,716107,726308,1991,526.7
1992-93,61561,36972,982,1211,11698,15783,69,-,290,-,-,-,41112,25674,1268,1598,26342,8271,5867,214796,272535,254854,29341,23800,34200,77644,39980,37664,33200,18556,96795,1992-93,46347,201900,738364,758349,1992,546.4
1993-94,62810,40136,710,1335,11002,14887,359,-,149,-,-,-,43446,27072,1736,1683,27096,7988,6157,221792,281089,268889,27519,23500,36600,85051,43033,42019,34700,19827,96730,1993-94,51342,249800,782760,803082,1993,555.1
1994-95,67132,42832,926,1409,10862,19390,712,-,211,-,-,-,46526,30087,1799,1752,27566,8611,6664,240980,292082,280560,27921,23300,39400,87553,44134,43420,36200,22658,99370,1994-95,43924,290000,821496,841425,1994,568.5
1995-96,71400,45007,796,1518,11439,23569,968,-,171,-,-,-,48432,34373,2018,1820,29161,9324,9292,260558,306202,294506,28238,22500,41400,91524,45926,45597,37000,25899,104421,1995-96,35535,322100,866221,895885,1995,588.2
1996-97,72039,47219,1132,1558,12238,27787,1729,-,199,-,-,-,51725,35717,2467,1916,27846,10069,7927,273893,312647,303709,23600,22100,42800,95142,48406,46736,37800,27402,102065,1996-97,28924,347000,924548,948382,1996,602.4
1997-98,79838,51692,1470,1684,12850,30437,963,-,188,-,-,2610,55586,38680,3456,2009,28916,10945,14876,301039,317284,317976,25216,21700,44500,96369,50328,46041,38600,29430,112593,1997-98,10616,360400,965482,985802,1997,621.3
1998-99,88995,54746,1964,1785,13198,30032,504,-,-44,-,-,2614,58411,41075,4623,2179,29706,12146,15830,321166,325320,327701,26624,24500,46900,98777,52496,46281,40000,30282,113866,1998-99,-66,363100,1010722,1032964,1998,642.6
1999-00,96696,56935,2122,2047,14090,34322,853,-,-,-,-,-,62807,42548,6898,2286,28259,13031,16858,344323,335431,339399,28701,25100,49400,103490,55732,47758,42200,26746,121164,1999-00,-11581,353300,1058494,1088366,1999,652.5
2000-01,107088,62068,3236,2223,15258,34868,1518,-,-,-,-,-,65479,42105,8165,2064,31230,14314,16820,368484,356603,361764,28907,25700,54200,109221,58985,50236,45900,26802,128848,2000-01,-15247,322000,1114341,1137120,2000,671.8
2001-02,108654,63162,3034,2357,16403,32608,1310,-,-,-,-,-,69349,41623,6983,2183,32312,15391,16840,374527,381078,380275,37167,25400,59800,115992,63329,52663,51200,24314,140736,2001-02,6579,330600,1152999,1175810,2001,683.7
2002-03,110777,63529,1596,2356,16718,30122,958,-,-,-,-,-,72604,42689,7549,2287,34436,16797,15324,380164,413402,408626,43157,27000,66200,120683,65494,55189,54700,22117,161083,2002-03,36402,369200,1209047,1241522,2002,695.1
2003-04,116921,75148,2225,2504,16555,30737,1179,-,-,-,-,-,80290,44479,7544,2391,34816,18898,18323,411702,451054,445889,47777,28800,74900,132189,68638,63551,61000,23237,173540,2003-04,43695,404500,1275294,1308493,2003,715.2
2004-05,126432,80923,2282,2924,16941,38466,1284,-,-,-,-,-,82791,44882,8966,2508,35716,20049,20162,442165,483848,478922,54578,29800,82900,140384,73564,66819,65100,24961,190355,2004-05,52548,460900,1342278,1378668,2004,736.5
2005-06,136074,85559,3042,3258,18000,46020,2016,-,-,-,-,-,84903,45608,10918,2623,36992,21219,25287,473170,510626,508293,57427,31000,89800,147251,77940,69312,69800,27999,199870,2005-06,46110,499400,1420970,1456514,2005,757.3
2006-07,146495,90916,3830,3545,19111,46338,2155,-,-,-,-,-,91329,45391,13393,2745,38369,22333,26216,502325,538726,532381,59611,32200,94700,152298,80564,71734,73000,29261,210533,2006-07,42172,535200,1487963,1526479,2006,781.5
2007-08,157092,95437,5268,3824,19522,47103,1680,-,-,-,-,-,93800,48444,14123,2858,42939,23514,28250,528844,575875,565906,62913,33700,101100,176689,94201,82488,78700,33469,205161,2007-08,47125,567200,1567027,1592423,2007,815.0
2008-09,150839,96613,7852,2837,20853,38141,2567,-,-,-,-,-,89227,48526,8002,2977,46778,24516,29371,510197,616360,600435,85978,36800,108700,175884,93368,82516,83000,34895,247134,2008-09,119372,787200,1583394,1558283,2008,847.5
2009-10,147148,96638,2491,2386,21317,40035,923,-,-,-,-,-,86244,52450,7904,3028,47360,25061,30982,503858,658340,634809,86930,37700,116900,192813,99777,93037,88500,24431,261395,2009-10,159906,1027900,1561331,1594090,2009,843.0
2010-11,153246,97747,3601,2716,21254,43931,1458,-,-,-,-,42,101286,53951,8931,3064,53843,25563,32776,540768,683528,662728,80981,39300,119900,199859,103626,96233,91500,39324,253826,2010-11,141786,1168700,1630474,1651191,2010,881.9
2011-12,152702,101597,4337,2905,22868,41737,2032,-,-,-,-,2382,114204,55414,8919,3113,54143,25777,32793,559618,679871,671400,74820,38700,121300,206253,107622,98630,86500,45004,248463,2011-12,121290,1261200,1671352,1698631,2011,927.8
2012-13,152291,104483,3927,3106,23725,40748,1737,-,-,-,-,1773,117312,55105,9140,3085,64873,26146,29343,565756,705711,682996,78402,36300,124300,214021,113482,100539,84100,37969,264708,2012-13,123911,1366200,1726983,1762710,2012,957.6
2013-14,157618,107306,3908,3401,24848,40671,1118,-,-,-,-,2430,123592,55854,12481,3120,72704,27364,27414,589649,710552,693627,74587,36400,129400,210741,114395,96346,84700,38472,268501,2013-14,102465,1461100,1806096,1845771,2013,986.7
2014-15,163619,110260,5559,3802,25105,44271,77,-,-,-,-,3117,128316,55955,13779,3137,73849,28144,31638,611684,724389,704023,82476,36700,134100,215240,117954,97286,85100,37588,277771,2014-15,96867,1552900,1875897,1905355,2014,1010.0
2015-16,168874,114061,7060,4650,25584,44801,-562,-,-,-,-,3198,133953,56371,14597,3115,74315,28986,35075,633752,729724,714764,79979,36600,138500,217851,120300,97551,84900,33041,283851,2015-16,81516,1599700,1937570,1973425,2015,1020.0
2016-17,176951,125784,8561,4823,26392,53666,-653,-,-,-,-,3138,139483,56927,16123,3163,79128,30361,33725,676482,739061,725217,88641,37100,142600,218844,121965,96879,84900,35659,294755,2016-17,54804,1718000,2022931,2064621,2016,1037.7
2017-18,180609,131547,7793,5204,26636,55541,-568,-,-,-,-,2823,143646,57951,17114,3181,84537,32134,32512,700471,766065,742216,94686,38700,147300,220910,123504,97406,86100,42487,301405,2017-18,58916,1757300,2102925,2141094,2017,1074.9
2018-19,192505,137461,9191,5360,27624,56841,-744,-,-,-,-,2535,151803,59525,16507,3227,87178,34832,29603,735240,782544,761139,93426,40200,152900,224458,126092,98366,88100,42094,306813,2018-19,44267,1776900,2177222,2214465,2018,1110.8
2019-20,192365,143674,9827,5122,27918,51344,-409,-,-,-,-,2528,153971,59928,16166,3259,90881,36339,33581,743560,813662,791476,94479,42200,164100,228828,128355,100473,92400,36845,321582,2019-20,61453,1815000,2249423,2139511,2019,1139.3
2020-21,195306,144213,11131,5327,15222,54872,-241,-,-,-,-,2042,138168,50105,13204,3667,90877,37577,32069,709603,1046200,980813,125674,44582,218568,249437,131298,118139,95526,25132,473242,2020-21,312942,2152900,2085204,2216594,2020,1156.4
2021-22,224992,159698,15267,6056,22357,71677,-552,-,-,-,-,1510,166576,57635,19788,3832,92319,39970,38800,830996,983288,936317,104599,48608,216785,253182,136045,117137,100251,47552,374538,2021-22,121091,2381900,2337907,2448075,2021,1203.2
2022-23,248750,177564,18051,7086,25040,78785,-234,-,-,4441,-,1323,186687,57477,20466,3749,101687,41640,44976,917625,1076626,1043605,110975,52998,215017,256984,138088,118896,105210,114670,409703,2022-23,139213,2530400,2525544,2530833,2022,1342.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
